"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"42628-15386","C","Ryan","Ryan Strome","Strome","11.977272727272727","44","6300","NYI@NYR","NYR","NYI","","","","",""
"42628-9124","C","Ryan","Ryan O'Reilly","O'Reilly","11.326086956521738","46","6300","ANH@STL","STL","ANH","","","","",""
"42628-8467","D","Shea","Shea Weber","Weber","14.232608961022418","46","6200","CGY@MON","MON","CGY","","","","",""
"42628-15356","D","Dougie","Dougie Hamilton","Hamilton","16.4977783203125","45","6200","CAR@WSH","CAR","WSH","","","","",""
"42628-8303","W","Jakub","Jakub Voracek","Voracek","10.14888916015625","45","6100","BOS@PHI","PHI","BOS","","","","",""
"42628-21122","W","Jaden","Jaden Schwartz","Schwartz","12.621738599694293","46","6100","ANH@STL","STL","ANH","","","","",""
"42628-41592","C","Max","Max Domi","Domi","11.25","46","6000","CGY@MON","MON","CGY","","","","",""
"42628-14473","W","Jakob","Jakob Silfverberg","Silfverberg","11.195238385881696","42","6000","ANH@STL","ANH","STL","O","Upper body","","",""
"42628-85470","W","Andrei","Andrei Svechnikov","Svechnikov","14.317777506510417","45","6000","CAR@WSH","CAR","WSH","","","","",""
"42628-66601","W","Jake","Jake DeBrusk","DeBrusk","10.582926680402059","41","5900","BOS@PHI","BOS","PHI","","","","",""
"42628-66508","W","Travis","Travis Konecny","Konecny","13.069048200334821","42","5800","BOS@PHI","PHI","BOS","","","","",""
"42628-21897","C","Brock","Brock Nelson","Nelson","13.025580827579942","43","5700","NYI@NYR","NYI","NYR","","","","",""
"42628-8230","D","Mark","Mark Giordano","Giordano","12.431914633892951","47","5600","CGY@MON","CGY","MON","","","","",""
"42628-21648","D","Torey","Torey Krug","Krug","11.892105102539062","38","5600","BOS@PHI","BOS","PHI","","","","",""
"42628-8134","C","Ryan","Ryan Getzlaf","Getzlaf","11.9093017578125","43","5500","ANH@STL","ANH","STL","","","","",""
"42628-58985","W","Jakub","Jakub Vrana","Vrana","13.258696182914402","46","5400","CAR@WSH","WSH","CAR","","","","",""
"42628-15269","W","Rickard","Rickard Rakell","Rakell","11.943589430588942","39","5400","ANH@STL","ANH","STL","","","","",""
"42628-15277","C","Phillip","Phillip Danault","Danault","10.147825821586277","46","5400","CGY@MON","MON","CGY","","","","",""
"42628-8176","C","David","David Krejci","Krejci","10.117948874449118","39","5400","BOS@PHI","BOS","PHI","","","","",""
"42628-9266","W","Brayden","Brayden Schenn","Schenn","11.786956787109375","46","5300","ANH@STL","STL","ANH","","","","",""
"42628-58990","C","Kevin","Kevin Hayes","Hayes","10.213333468967013","45","5300","BOS@PHI","PHI","BOS","","","","",""
"42628-11201","D","Jeff","Jeff Petry","Petry","10.99347852623981","46","5200","CGY@MON","MON","CGY","","","","",""
"42628-66511","D","Ivan","Ivan Provorov","Provorov","11.362221950954861","45","5200","BOS@PHI","PHI","BOS","","","","",""
"42628-58928","D","Tony","Tony DeAngelo","DeAngelo","12.227272727272727","44","5100","NYI@NYR","NYR","NYI","","","","",""
"42628-9025","W","Jordan","Jordan Eberle","Eberle","9.23939375443892","33","5100","NYI@NYR","NYI","NYR","","","","",""
"42628-12460","D","Cam","Cam Fowler","Fowler","10.05111083984375","45","4900","ANH@STL","ANH","STL","","","","",""
"42628-8596","C","Jordan","Jordan Staal","Staal","7.571111382378472","45","4900","CAR@WSH","CAR","WSH","","","","",""
"42628-9189","W","Mikael","Mikael Backlund","Backlund","7.638297872340425","47","4900","CGY@MON","CGY","MON","","","","",""
"42628-70912","D","Charlie","Charlie McAvoy","McAvoy","8.346511485964752","43","4800","BOS@PHI","BOS","PHI","","","","",""
"42628-23226","W","Tom","Tom Wilson","Wilson","11.446666124131944","45","4700","CAR@WSH","WSH","CAR","","","","",""
"42628-39269","C","Erik","Erik Haula","Haula","11.346153846153847","26","4700","CAR@WSH","CAR","WSH","","","","",""
"42628-70513","W","Pavel","Pavel Buchnevich","Buchnevich","8.76590936834162","44","4700","NYI@NYR","NYR","NYI","","","","",""
"42628-42983","W","Joel","Joel Armia","Armia","12.137142508370536","35","4700","CGY@MON","MON","CGY","IR","Hand","","",""
"42628-12843","W","Adam","Adam Henrique","Henrique","10.142222086588541","45","4600","ANH@STL","ANH","STL","","","","",""
"42628-82006","W","Nick","Nick Suzuki","Suzuki","8.950000265370244","46","4600","CGY@MON","MON","CGY","","","","",""
"42628-8797","W","James","James van Riemsdyk","van Riemsdyk","9.34888916015625","45","4600","BOS@PHI","PHI","BOS","","","","",""
"42628-54503","W","Ryan","Ryan Dzingel","Dzingel","8.728888617621529","45","4600","CAR@WSH","CAR","WSH","","","","",""
"42628-9990","C","Lars","Lars Eller","Eller","10.469565350076426","46","4600","CAR@WSH","WSH","CAR","","","","",""
"42628-39245","D","Jacob","Jacob Trouba","Trouba","11.5522724498402","44","4600","NYI@NYR","NYR","NYI","","","","",""
"42628-8495","W","Josh","Josh Bailey","Bailey","8.637209160383357","43","4500","NYI@NYR","NYI","NYR","","","","",""
"42628-12728","W","Nino","Nino Niederreiter","Niederreiter","7.662221950954861","45","4500","CAR@WSH","CAR","WSH","","","","",""
"42628-81983","C","Robert","Robert Thomas","Thomas","7.817073170731708","41","4400","ANH@STL","STL","ANH","","","","",""
"42628-8294","W","Derick","Derick Brassard","Brassard","7.958139818768169","43","4400","NYI@NYR","NYI","NYR","","","","",""
"42628-13472","D","Dmitry","Dmitry Orlov","Orlov","8.463043212890625","46","4400","CAR@WSH","WSH","CAR","","","","",""
"42628-43200","D","Ryan","Ryan Pulock","Pulock","11.095348979151526","43","4400","NYI@NYR","NYI","NYR","","","","",""
"42628-61246","D","Colton","Colton Parayko","Parayko","9.138094947451638","42","4400","ANH@STL","STL","ANH","DTD","Upper body","","",""
"42628-70483","W","Artturi","Artturi Lehkonen","Lehkonen","8.878260736880096","46","4400","CGY@MON","MON","CGY","","","","",""
"42628-16969","C","Charlie","Charlie Coyle","Coyle","8.552173780358356","46","4300","BOS@PHI","BOS","PHI","","","","",""
